年月日	地点	平均気温(℃)	最高気温(℃)	最低気温(℃)	降水量の合計(mm)	10分間降水量の最大(mm)	日照時間(時間)	合計全天日射量(MJ/㎡)	最深積雪(cm)	降雪量合計(cm)	平均風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最多風向(16方位)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均湿度(%)	平均海面気圧(hPa)	最小相対湿度(%)	最低海面気圧(hPa)	平均雲量(10分比)	天気概況(昼:06時~18時)	天気概況(夜:18時~翌日06時)
2016/5/15	大田	22.8	29.0	16.0	0.0	0.0	8.0				2.5	5.3	12.0	南東									
2016/5/16	大田	16.1	24.4	9.6	45.0	3.0	0.1				2.7	7.6	15.2	南東									
2016/5/17	大田	14.3	22.0	8.2	0.0	0.0	10.5				1.7	3.2	5.8	南東									
2016/5/18	大田	18.2	28.2	8.2	0.0	0.0	13.1				1.5	4.2	7.5	北									
2016/5/19	大田	18.3	26.1	11.5	0.0	0.0	12.6				1.6	4.2	7.7	北北西									
2016/5/20	大田	18.3	24.6	11.6	0.0	0.0	13.1				1.7	4.9	9.5	北									
2016/5/21	大田	17.9	23.3	11.8	0.0	0.0	13.0				1.6	4.0	7.6	北									
2016/5/22	大田	19.1	26.2	11.4	0.0	0.0	12.8				1.2	4.4	7.4	北北西									
2016/5/23	大田	21.1	28.9	13.5	0.0	0.0	12.1				1.5	3.9	7.0	南東									
2016/5/24	大田	23.4	29.7	17.2	2.5	1.0	3.4				2.6	6.8	13.9	南東									
2016/5/25	大田	21.6	25.1	19.3	2.5	0.5	0.7				1.3	3.2	6.9	南東									
2016/5/26	大田	21.8	26.3	19.5	0.5	0.5	1.3				1.1	3.5	5.6	北西									
2016/5/27	大田	20.5	25.2	17.4	0.0	0.0	6.9				1.3	3.7	7.0	南東									
2016/5/28	大田	20.0	24.1	16.4	0.0	0.0	2.0				1.1	2.9	5.5	南南東									
2016/5/29	大田	18.9	21.6	15.7	13.0	2.5	0.7				1.2	3.7	6.1	南南東									
2016/5/30	大田	19.8	23.5	16.4	0.0	0.0	0.5				1.0	3.2	5.9	西北西									
2016/5/31	大田	20.8	27.6	14.9	0.0	0.0	12.7				1.5	3.5	7.9	南東									
2016/6/1	大田	18.4	22.6	14.2	0.0	0.0	9.9				2.6	6.4	13.1	北									
2016/6/2	大田	16.7	22.7	10.8	0.0	0.0	12.4				2.0	5.0	9.2	北									
2016/6/3	大田	18.8	26.5	9.3	0.0	0.0	13.1				1.7	3.6	7.2	南東									
2016/6/4	大田	20.2	24.7	16.9	8.5	1.0	0.6				1.7	4.6	10.0	南東									
2016/6/5	大田	19.6	25.3	16.2	3.5	0.5	0.1				0.8	2.5	4.9	南									
2016/6/6	大田	21.2	27.4	16.9	0.0	0.0	3.2				0.9	3.9	7.7	西									
2016/6/7	大田	22.4	27.8	19.3	0.0	0.0	4.2				1.4	5.2	10.0	南南東									
2016/6/8	大田	23.1	27.7	20.1	0.0	0.0	4.0				1.7	4.9	7.7	南東									
2016/6/9	大田	21.4	25.5	18.6	24.5	5.0	4.1				1.2	3.3	6.2	北北西									
2016/6/10	大田	22.9	28.4	17.3	0.0	0.0	13.2				1.5	4.4	7.6	北									
2016/6/11	大田	24.7	29.5	20.0	0.0	0.0	3.0				1.4	3.2	5.8	南東									
2016/6/12	大田	23.7	27.6	20.2	29.0	4.5	0.8				1.6	3.8	8.5	南南東									
2016/6/13	大田	21.6	25.9	18.9	5.0	1.0	4.7				1.5	4.2	7.1	北									
2016/6/14	大田	22.3	27.0	18.2	0.0	0.0	9.3				1.4	3.9	6.6	南東									
2016/6/15	大田	24.1	27.9	19.4	0.0	0.0	4.8				1.3	2.7	6.4	南東									
2016/6/16	大田	23.9	26.9	21.3	1.5	0.5	0.1				1.7	4.5	9.7	南東									
2016/6/17	大田	22.8	26.7	18.1	0.0	0.0	8.0				1.7	3.4	8.6	西									
2016/6/18	大田	21.8	27.5	16.5	0.0	0.0	9.9				1.3	3.2	6.1	西北西									
2016/6/19	大田	23.6	27.2	19.8	25.0	9.5	1.5				1.6	4.2	8.8	南東									
2016/6/20	大田	24.9	29.3	22.4	10.0	1.5	5.9				1.4	3.0	8.2	東南東									
2016/6/21	大田	23.3	26.8	21.4	7.0	1.5	1.3				1.1	3.3	5.9	北									
2016/6/22	大田	23.6	27.6	21.9	10.0	1.0	0.0				0.6	2.3	4.3	南南東									
2016/6/23	大田	22.8	26.7	19.8	2.5	0.5	7.5				1.7	4.4	8.0	北									
2016/6/24	大田	23.0	27.2	19.1	46.5	8.0	0.0				2.1	4.9	13.9	南東									
2016/6/25	大田	22.7	24.0	21.4	0.0	0.0	0.0				1.8	3.7	15.2	西									
2016/6/26	大田	22.6	26.6	17.8	0.0	0.0	9.7				1.7	3.9	9.1	西北西									
2016/6/27	大田	21.5	27.8	16.4	8.5	1.5	4.8				1.2	2.9	4.4	南南東									
2016/6/28	大田	22.2	26.5	17.8	0.0	0.5	2.3				1.5	4.5	8.6	南南東									
2016/6/29	大田	22.2	24.2	20.4	8.0	2.0	0.0				0.6	2.4	4.4	南東									
2016/6/30	大田	23.9	27.7	21.9	1.5	0.5	2.8				1.1	2.9	6.1	南東									
2016/7/1	大田	26.4	32.6	21.6	0.5	0.5	6.9				1.5	3.3	6.8	南東									
2016/7/2	大田	28.2	33.4	24.8	2.0	1.0	3.9				2.2	4.0	9.9	南東									
2016/7/3	大田	25.0	29.9	23.3	45.0	7.0	0.8				1.2	3.9	9.5	西南西									
2016/7/4	大田	26.5	31.9	23.2	19.5	6.0	3.0				1.3	3.1	7.2	南東									
2016/7/5	大田	27.8	32.4	24.4	0.0	0.0	7.5				1.2	3.1	6.7	南東									
2016/7/6	大田	28.1	33.2	24.1	0.0	0.0	11.2				1.6	3.6	8.0	西									
2016/7/7	大田	25.7	30.7	23.2	0.0	0.0	6.5				1.3	3.2	5.6	北									
2016/7/8	大田	24.7	26.3	23.0	0.0	0.0	0.0				1.4	4.6	10.4	南南東									
2016/7/9	大田	25.4	29.9	22.0	1.0	0.5	11.7				1.4	3.4	6.3	南東									
2016/7/10	大田	26.2	30.5	22.7	0.0	0.0	5.9				1.1	3.2	5.5	北西									
2016/7/11	大田	27.0	30.7	23.3	0.0	0.0	3.8				1.1	2.8	5.2	南南東									
2016/7/12	大田	26.6	31.6	25.0	9.5	1.5	0.8				1.4	3.1	6.9	南東									
2016/7/13	大田	25.6	28.5	24.5	26.5	8.5	0.1				1.6	4.3	8.6	南東									
2016/7/14	大田	25.5	29.0	22.2	1.0	1.0	2.0				1.7	3.8	9.7	北西									
2016/7/15	大田	22.4	26.2	20.5	2.5	0.5	1.8				2.2	4.2	8.1	北西									
2016/7/16	大田	24.9	29.4	20.3	4.5	2.0	5.3				2.1	5.2	9.9	南東									
2016/7/17	大田	25.8	30.1	23.0	0.5	0.5	4.4				1.4	4.2	8.3	西									
2016/7/18	大田	25.3	30.0	21.6	0.0	0.0	9.9				1.5	3.5	7.6	西北西									
2016/7/19	大田	24.3	28.1	21.0	0.0	0.0	9.3				2.0	5.2	9.7	北									
2016/7/20	大田	24.9	30.4	20.1	0.0	0.0	12.5				2.1	6.1	11.5	北									
2016/7/21	大田	24.1	28.6	19.4	0.0	0.0	11.5				2.0	5.9	10.5	北									
2016/7/22	大田	24.2	30.3	18.9	0.0	0.0	9.7				1.6	5.1	9.5	北									
2016/7/23	大田	25.9	31.4	20.6	0.0	0.0	11.8				1.3	3.1	6.2	南東									
2016/7/24	大田	27.2	30.8	24.0	0.0	0.0	0.4				1.3	3.0	4.8	南南東									
2016/7/25	大田	27.5	31.6	25.1	0.0	0.0	0.9				1.4	2.8	8.0	南南東									
2016/7/26	大田	27.0	30.8	24.6	0.0	0.0	1.1				1.4	3.2	6.7	東南東									
2016/7/27	大田	28.0	33.9	24.0	0.0	0.0	6.8				1.6	3.3	7.5	南南東									
2016/7/28	大田	28.9	34.5	25.1	0.0	0.0	8.8				1.6	5.2	8.8	南南東									
2016/7/29	大田	29.3	34.3	25.9	0.0	0.0	10.9				1.5	3.6	9.1	南東									
2016/7/30	大田	28.2	33.6	25.1	0.0	0.0	7.1				1.3	2.8	5.5	南南東									
2016/7/31	大田	28.3	33.5	24.9	0.0	0.0	8.7				1.3	3.3	6.4	南東									
2016/8/1	大田	27.9	33.0	24.6	0.0	0.0	8.9				1.4	3.1	6.4	南東									
2016/8/2	大田	27.1	32.3	23.5	0.0	0.0	9.1				1.5	3.9	7.0	南東									
2016/8/3	大田	27.4	32.8	23.1	0.0	0.0	10.9				1.9	5.3	10.7	北									
2016/8/4	大田	27.6	33.3	22.6	0.0	0.0	11.9				1.8	5.2	9.6	北									
2016/8/5	大田	28.0	33.4	23.3	0.0	0.0	10.7				1.3	3.8	6.4	北北西									
2016/8/6	大田	27.4	33.1	24.3	0.0	0.0	6.5				1.2	3.8	6.4	南東									
2016/8/7	大田	29.3	35.5	24.7	0.0	0.0	11.9				1.7	3.6	6.3	南東									
2016/8/8	大田	28.6	33.9	24.1	0.0	0.0	12.2				1.7	4.2	7.7	南東									
2016/8/9	大田	27.2	32.8	22.5	0.0	0.0	10.0				1.9	4.6	8.3	北									
2016/8/10	大田	26.2	32.6	20.6	0.0	0.0	12.5				1.6	4.4	7.5	北									
2016/8/11	大田	26.7	34.3	19.3	0.0	0.0	12.7				1.5	3.9	6.7	南東									
2016/8/12	大田	27.0	33.9	20.8	0.0	0.0	12.7				1.3	3.1	5.8	南東									
2016/8/13	大田	29.0	36.3	22.8	0.0	0.0	12.4				1.4	3.4	7.0	西北西									
2016/8/14	大田	29.2	35.9	23.9	0.0	0.0	11.9				1.6	3.6	8.2	南									
2016/8/15	大田	27.2	31.7	25.2	4.0	2.5	3.2				1.2	2.6	5.2	南東									
2016/8/16	大田	26.5	31.4	24.2	3.5	1.0	1.3				0.9	3.3	5.9	南南東									
2016/8/17	大田	27.3	32.0	22.6	1.5	1.0	9.0				1.7	4.8	10.3	北									
2016/8/18	大田	27.2	34.6	20.4	0.0	0.0	11.4				1.7	5.2	9.9	北北東									
2016/8/19	大田	28.5	35.5	22.9	0.0	0.0	11.7				1.6	4.8	8.0	北									
2016/8/20	大田	27.0	32.1	21.3	0.0	0.0	10.2				2.2	6.0	11.1	北									
2016/8/21	大田	28.4	33.5	23.5	0.0	0.0	9.4				1.7	4.9	9.3	北									
2016/8/22	大田	27.9	33.1	24.0	0.0	0.0	9.1				2.1	6.2	11.2	北									
2016/8/23	大田	26.7	32.6	21.9	0.0	0.0	11.6				2.0	6.0	10.4	北									
2016/8/24	大田	27.7	35.3	20.7	0.0	0.0	8.9				1.3	4.4	8.7	北									
2016/8/25	大田	28.9	35.2	23.7	0.0	0.0	9.0				1.5	4.1	7.1	南東									
2016/8/26	大田	25.8	33.5	21.7	5.5	1.0	1.1				2.2	6.7	13.5	北									
2016/8/27	大田	23.6	27.8	21.3	0.5	0.5	1.1				2.3	4.7	9.7	北東									
2016/8/28	大田	21.2	23.6	19.2	93.5	4.5	0.0				1.5	8.2	15.7	東南東									
2016/8/29	大田	21.5	23.3	20.0	64.5	3.0	0.0				3.0	6.6	16.9	北西									
2016/8/30	大田	21.0	26.3	18.0	19.0	5.5	4.0				2.1	4.3	12.2	東南東									
2016/8/31	大田	24.5	29.4	19.3	2.5	0.5	8.8				2.4	4.5	13.0	東南東									
2016/9/1	大田	25.1	30.6	19.9	0.0	0.0	6.3				2.2	4.2	8.1	南東									
2016/9/2	大田	24.9	31.3	20.1	0.0	0.0	4.7				1.0	3.0	5.9	南東									
2016/9/3	大田	25.4	31.8	20.6	0.0	0.0	2.9				1.1	3.9	7.4	南東									
2016/9/4	大田	26.5	31.0	23.4	0.0	0.0	1.0				0.9	2.5	5.5	南東									
2016/9/5	大田	24.7	26.0	23.6	12.5	2.0	0.0				0.7	2.2	5.2	東南東									
2016/9/6	大田	25.4	29.2	23.0	0.0	0.0	7.2				1.3	3.7	6.5	南南東									
2016/9/7	大田	25.4	31.3	23.2	1.0	0.5	1.9				1.1	3.2	5.4	南東									
2016/9/8	大田	22.9	26.7	20.5	35.5	4.5	2.0				1.2	2.9	7.2	北西									
2016/9/9	大田	22.8	28.0	19.3	0.0	0.0	9.9				1.3	2.8	5.5	南東									
2016/9/10	大田	22.5	29.4	17.7	0.0	0.0	6.6				1.3	4.3	8.0	南東									
2016/9/11	大田	24.7	30.8	19.5	0.0	0.0	7.8				1.1	3.6	6.8	北									
2016/9/12	大田	21.4	23.4	19.7	88.5	5.0	0.0				1.8	6.9	14.1	北北東									
2016/9/13	大田	22.4	25.4	19.7	1.0	1.0	0.7				1.4	3.6	7.4	北									
2016/9/14	大田	22.7	27.6	19.4	0.0	0.0	5.1				1.5	5.4	9.7	北									
2016/9/15	大田	22.8	27.4	19.7	0.0	0.0	2.2				1.0	3.6	6.9	北									
2016/9/16	大田	23.9	28.6	21.0	0.0	0.0	0.7				0.9	3.4	6.5	南南東									
2016/9/17	大田	25.3	30.2	23.2	30.0	2.0	2.2				1.5	3.4	8.2	南東									
2016/9/18	大田	22.9	24.3	21.4	36.5	7.0	0.0				1.5	3.3	7.6	北北東									
2016/9/19	大田	20.5	21.7	19.2	9.0	1.0	0.0				2.3	4.6	11.2	北北東									
2016/9/20	大田	19.7	21.1	18.1	16.5	1.0	0.0				3.9	7.9	17.0	北北東									
2016/9/21	大田	20.3	24.3	16.1	0.0	0.0	2.4				1.4	3.9	9.5	北東									
2016/9/22	大田	20.3	24.1	18.4	3.0	0.5	0.0				0.5	2.1	4.1	南東									
2016/9/23	大田	21.4	26.3	17.8	0.0	0.0	8.1				1.5	5.1	8.4	北									
2016/9/24	大田	22.2	27.9	17.6	0.0	0.0	10.0				1.2	4.3	7.5	北									
2016/9/25	大田	24.0	30.0	20.1	1.5	0.5	5.2				1.7	3.6	6.4	南南東									
2016/9/26	大田	25.4	29.1	22.0	0.5	0.5	0.3				1.5	3.3	7.9	南東									
2016/9/27	大田	26.4	31.9	23.0	0.0	0.0	7.1				1.4	4.0	6.2	南東									
2016/9/28	大田	24.5	26.1	22.5	15.0	1.5	0.0				0.7	3.3	6.9	東南東									
2016/9/29	大田	19.6	22.5	16.8	9.5	2.0	0.0				2.3	5.2	10.2	北北東									
2016/9/30	大田	18.9	24.5	15.6	17.0	2.0	0.0				1.2	5.1	8.3	北									
2016/10/1	大田	21.4	24.6	18.9	5.5	1.5	0.4				0.7	2.7	5.1	北									
2016/10/2	大田	24.8	30.4	21.2	0.0	0.0	6.4				1.1	3.0	6.1	南東									
2016/10/3	大田	26.5	31.5	23.1	0.0	0.0	7.4				1.4	3.3	6.6	南南東									
2016/10/4	大田	23.5	26.2	20.9	0.0	0.0	0.2				1.4	4.0	10.6	北									
2016/10/5	大田	22.6	31.1	19.8	8.5	1.0	3.1				2.3	8.5	17.8	西									
2016/10/6	大田	20.8	24.6	16.4	0.0	0.0	9.5				1.7	5.4	10.8	北									
2016/10/7	大田	20.7	25.9	15.7	0.0	0.0	6.9				1.6	4.7	9.5	南東									
2016/10/8	大田	23.2	28.4	20.4	52.5	5.0	1.4				1.8	5.7	11.1	南東									
2016/10/9	大田	18.6	21.7	15.3	4.5	1.0	2.2				2.4	4.9	10.4	北									
2016/10/10	大田	16.8	20.7	13.9	0.0	0.0	8.3				2.1	5.0	9.6	東									
2016/10/11	大田	14.8	18.8	11.5	0.0	0.0	0.1				0.7	2.0	4.7	南東									
2016/10/12	大田	16.0	21.9	10.7	0.0	0.0	5.7				1.6	4.0	8.8	南東									
2016/10/13	大田	15.2	20.8	11.2	0.0	0.0	1.4				0.9	2.8	5.9	南東									
2016/10/14	大田	14.9	22.9	9.7	0.0	0.0	8.9				1.1	3.1	5.6	北									
2016/10/15	大田	15.7	24.4	8.8	0.0	0.0	9.7				1.2	4.0	7.2	東南東									
2016/10/16	大田	17.3	23.5	12.4	22.5	4.5	0.2				1.5	3.9	6.9	南東									
2016/10/17	大田	20.6	23.8	17.7	27.0	4.5	0.5				1.4	4.0	7.9	南南東									
2016/10/18	大田	20.8	25.7	16.7	0.0	0.0	4.0				1.2	4.4	7.8	北									
2016/10/19	大田	19.1	26.0	14.6	0.0	0.0	4.4				0.8	2.2	4.9	南東									
2016/10/20	大田	19.0	23.5	15.0	0.0	0.0	6.7				1.6	4.5	7.8	北東									
2016/10/21	大田	16.7	19.4	12.9	0.0	0.0	0.0				2.0	4.4	8.7	北北東									
2016/10/22	大田	16.7	21.5	12.6	0.0	0.0	0.4				1.3	2.9	5.6	南南東									
2016/10/23	大田	17.0	19.9	13.6	0.0	0.0	0.7				2.3	5.0	11.1	北東									
2016/10/24	大田	14.1	20.7	9.1	0.0	0.0	9.8				1.6	4.8	9.6	北東									
2016/10/25	大田	17.9	23.4	8.9	6.5	1.5	2.2				2.2	6.4	12.7	南東									
2016/10/26	大田	18.5	21.5	15.5	1.0	0.5	0.3				0.8	3.0	6.8	南東									
2016/10/27	大田	15.9	20.3	12.4	0.0	0.0	4.7				1.6	4.7	10.6	北東									
2016/10/28	大田	15.0	16.3	12.7	20.0	1.5	0.0				0.8	4.2	7.5	北西									
2016/10/29	大田	14.9	17.9	11.0	4.5	2.5	1.5				2.7	6.1	14.2	北東									
2016/10/30	大田	13.1	19.7	9.0	0.0	0.0	3.2				1.6	4.1	8.0	南東									
2016/10/31	大田	13.4	17.2	10.0	1.5	0.5	0.1				1.8	3.5	6.1	南南東									
2016/11/1	大田	13.1	16.6	10.1	0.0	0.0	1.8				2.2	5.5	11.2	北西									
2016/11/2	大田	12.1	17.9	8.0	0.0	0.0	2.0				2.1	3.7	8.5	南南東									
2016/11/3	大田	12.6	16.6	8.2	0.0	0.0	3.9				2.2	4.3	10.0	西北西									
2016/11/4	大田	12.1	18.9	8.0	0.0	0.0	8.2				1.8	3.4	5.8	南東									
2016/11/5	大田	14.6	21.7	9.5	0.5	0.5	9.2				2.1	4.0	7.3	南南東									
2016/11/6	大田	12.1	15.1	5.6	0.5	0.5	0.1				2.2	5.1	11.0	北東									
2016/11/7	大田	10.6	19.0	3.8	0.0	0.0	9.3				1.2	5.4	10.0	南東									
2016/11/8	大田	12.4	14.6	10.2	10.0	1.5	0.0				2.1	4.0	9.2	東北東									
2016/11/9	大田	8.8	11.6	6.0	8.0	1.5	0.3				2.2	4.8	9.8	南東									
2016/11/10	大田	8.5	13.3	4.8	3.0	0.5	1.1				1.9	4.5	9.3	南南東									
2016/11/11	大田	12.9	18.5	8.3	2.0	1.0	3.9				2.3	4.5	11.7	南東									
2016/11/12	大田	12.3	19.0	7.7	0.0	0.0	8.9				1.5	4.8	7.2	南東									
2016/11/13	大田	14.8	21.1	10.3	0.0	0.0	6.1				1.7	4.2	7.1	南南東									
2016/11/14	大田	16.5	20.4	14.8	2.5	0.5	0.4				2.0	4.2	9.0	南南東									
2016/11/15	大田	15.3	18.9	11.9	0.0	0.0	0.0				2.4	5.6	11.6	北									
2016/11/16	大田	11.2	16.9	5.9	0.0	0.0	7.4				1.2	2.8	5.5	東南東									
2016/11/17	大田	11.9	17.2	7.6	0.0	0.0	5.2				1.5	3.3	6.9	南									
2016/11/18	大田	14.0	20.7	7.4	6.0	1.0	7.2				2.2	4.0	7.8	南南東									
2016/11/19	大田	17.4	19.8	13.9	17.0	3.5	0.0				1.9	6.1	12.9	南東									
2016/11/20	大田	16.6	19.2	11.9	3.0	1.5	0.0				1.5	5.0	9.6	北西									
2016/11/21	大田	13.9	19.2	9.2	0.0	0.0	3.6				0.9	3.1	6.3	南東									
2016/11/22	大田	14.3	20.1	9.8	0.5	0.5	4.2				1.4	4.7	10.4	北西									
2016/11/23	大田	9.4	14.2	7.9	0.0	0.0	2.7				3.2	6.5	12.1	東									
2016/11/24	大田	9.5	13.9	7.2	15.0	2.0	1.8				2.5	7.2	15.4	北西									
2016/11/25	大田	8.4	13.1	5.9	1.0	0.5	2.6				1.7	3.1	7.5	南東									
2016/11/26	大田	8.9	14.4	2.9	8.5	1.0	5.8				1.5	3.7	7.7	南南東									
2016/11/27	大田	10.2	11.7	9.3	20.0	3.0	0.0				0.9	5.1	10.8	南東									
2016/11/28	大田	10.7	13.4	7.4	0.0	0.0	0.8				2.7	5.4	12.4	北西									
2016/11/29	大田	9.5	13.7	7.4	0.0	0.0	1.1				1.5	3.8	7.6	南東									
2016/11/30	大田	9.8	12.6	6.3	0.0	0.0	1.6				2.1	4.7	8.9	南東									
2016/12/1	大田	13.0	15.7	10.7	1.5	0.5	0.6				2.8	5.0	12.0	西北西									
2016/12/2	大田	10.6	15.2	6.4	0.0	0.0	6.9				1.7	3.3	8.2	南南東									
2016/12/3	大田	10.1	17.5	5.3	0.0	0.0	7.8				1.6	2.8	5.3	南									
2016/12/4	大田	12.0	16.4	7.7	11.5	1.5	1.5				2.1	3.7	8.0	南東									
2016/12/5	大田	12.7	16.3	10.5	0.0	0.0	1.7				1.9	4.0	8.6	南東									
2016/12/6	大田	10.1	15.4	6.5	1.5	0.5	1.2				3.2	6.6	15.8	北西									
2016/12/7	大田	7.7	10.4	4.8	3.5	1.5	0.5				2.6	5.1	12.6	南南東									
2016/12/8	大田	8.9	13.6	5.1	0.0	0.0	3.4				1.9	4.3	10.1	南東									
2016/12/9	大田	10.8	14.7	6.9	1.0	0.5	3.4				2.9	5.0	11.5	西北西									
2016/12/10	大田	8.4	11.3	6.0	1.5	0.5	2.4				2.0	4.8	10.1	南東									
2016/12/11	大田	7.2	11.5	2.9	2.0	0.5	1.0				2.0	6.0	11.9	北西									
2016/12/12	大田	7.1	10.4	2.4	1.0	0.5	1.1				2.6	4.3	7.5	南南東									
2016/12/13	大田	9.6	11.3	7.9	21.5	2.5	0.0				1.7	4.1	8.0	南南東									
2016/12/14	大田	5.9	11.0	3.1	11.0	1.0	1.2				3.0	5.9	12.6	北東									
2016/12/15	大田	5.5	9.3	2.2	6.5	2.0	4.5				1.8	5.5	12.7	南東									
2016/12/16	大田	3.2	6.3	1.0	29.0	2.5	0.9				3.0	8.8	21.6	南南東									
2016/12/17	大田	7.4	11.3	2.1	0.0	0.0	0.9				2.5	4.5	10.4	南東									
2016/12/18	大田	8.3	14.8	3.9	0.0	0.0	7.4				2.3	3.7	8.1	南東									
2016/12/19	大田	10.7	15.6	6.7	0.5	0.5	2.7				2.2	4.4	7.1	南南東									
2016/12/20	大田	11.0	13.9	8.3	1.5	0.5	0.4				1.6	4.0	5.6	南南東									
2016/12/21	大田	12.9	18.6	5.9	0.0	0.0	6.1				2.2	6.2	11.9	南東									
2016/12/22	大田	15.6	20.5	10.3	41.5	6.0	0.0				4.4	11.3	19.4	南東									
2016/12/23	大田	8.8	11.2	5.4	6.0	1.5	0.1				4.0	6.0	15.2	西北西									
2016/12/24	大田	7.0	10.6	4.7	2.5	0.5	2.0				1.5	5.1	9.3	南南東									
2016/12/25	大田	7.6	13.5	2.0	0.0	0.0	6.4				1.5	3.2	7.6	南東									
2016/12/26	大田	9.9	12.1	7.9	16.5	1.5	0.0				2.5	4.4	9.1	南東									
2016/12/27	大田	8.5	12.7	3.6	52.5	2.5	0.0				3.5	7.6	14.9	北									
2016/12/28	大田	4.1	5.7	1.9	0.0	0.0	0.1				2.9	6.3	13.4	東南東									
2016/12/29	大田	4.4	6.8	2.0	4.0	0.5	0.1				3.2	5.6	10.8	南南東									
2016/12/30	大田	6.4	10.8	2.8	0.0	0.0	4.2				2.2	4.5	9.4	北西									
2016/12/31	大田	6.3	11.7	2.3	0.0	0.0	5.0				2.5	4.2	8.5	南南東									
2017/1/1	大田	7.9	13.3	5.1	0.0	0.0	1.4				1.8	3.7	6.5	南南東									
2017/1/2	大田	8.8	13.4	3.8	0.0	0.0	1.2				2.5	4.4	9.1	西									
2017/1/3	大田	10.0	14.0	5.9	0.0	0.0	4.1				2.3	4.1	8.7	西北西									
2017/1/4	大田	9.1	13.5	4.9	0.0	0.0	5.6				2.1	4.4	9.7	北西									
2017/1/5	大田	6.9	8.1	5.5	0.0	0.0	0.8				2.1	4.5	10.5	北東									
2017/1/6	大田	6.2	10.3	0.5	0.0	0.0	6.3				1.9	4.8	9.4	東南東									
2017/1/7	大田	5.3	11.4	-0.6	0.0	0.0	5.3				1.2	3.3	7.5	南東									
2017/1/8	大田	7.5	9.1	5.4	10.5	0.5	0.0				0.7	3.9	10.9	南東									
2017/1/9	大田	8.9	10.8	6.4	12.0	5.0	0.2				2.8	5.9	12.8	北西									
2017/1/10	大田	7.7	12.2	5.5	0.5	0.5	3.7				2.5	4.9	10.7	西北西									
2017/1/11	大田	6.1	9.2	4.2	0.0	0.0	1.8				3.0	5.2	11.6	西北西									
2017/1/12	大田	6.4	8.7	4.7	2.0	0.5	1.3				3.1	5.2	12.8	西北西									
2017/1/13	大田	4.9	7.5	0.9	2.0	0.5	2.5				4.1	7.6	16.5	西北西									
2017/1/14	大田	1.7	4.6	-2.2	8.5	1.0	1.1				5.6	8.5	20.9	北西									
2017/1/15	大田	2.6	6.5	-1.3	7.5	1.5	2.4				4.4	8.4	17.9	北西									
2017/1/16	大田	3.3	6.4	1.4	8.0	1.5	2.1				3.3	6.8	14.2	北北西									
2017/1/17	大田	3.6	9.3	-0.1	0.5	0.5	4.1				1.7	4.7	7.2	南東									
2017/1/18	大田	4.7	7.1	1.7	2.0	1.0	1.0				2.0	3.8	7.3	南南東									
2017/1/19	大田	5.3	11.3	1.2	0.0	0.0	5.6				1.1	3.3	6.2	南東									
2017/1/20	大田	4.9	8.2	1.8	7.5	1.0	0.0				4.3	10.8	21.7	西北西									
2017/1/21	大田	5.3	8.5	2.6	0.0	0.0	2.9				2.5	7.5	16.2	東南東									
2017/1/22	大田	3.8	6.4	1.4	3.5	1.5	0.4				4.2	6.5	18.6	西北西									
2017/1/23	大田	1.3	3.9	-0.4	23.0	2.5	0.2				3.0	6.0	13.2	西北西									
2017/1/24	大田	1.6	4.4	0.0	5.5	1.0	0.7				2.3	6.0	11.9	西北西									
2017/1/25	大田	2.4	7.0	0.3	1.0	0.5	5.6				1.9	3.7	5.9	南南東									
2017/1/26	大田	4.2	10.5	-0.8	0.0	0.0	8.0				2.6	4.2	8.2	南南東									
2017/1/27	大田	5.7	11.2	-0.1	4.0	1.5	0.8				2.5	5.1	11.7	南東									
2017/1/28	大田	4.6	12.2	-0.5	0.0	0.0	8.8				1.3	3.1	5.6	南東									
2017/1/29	大田	6.9	9.4	2.8	12.0	1.5	0.0				2.5	4.6	7.6	南南東									
2017/1/30	大田	8.0	13.4	4.5	16.0	1.0	0.5				3.8	6.6	14.8	西北西									
2017/1/31	大田	3.5	8.2	-0.5	0.0	0.0	2.4				1.8	4.8	11.1	北									
2017/2/1	大田	5.1	8.7	0.9	1.5	0.5	0.6				3.6	6.1	12.9	北西									
2017/2/2	大田	7.3	10.3	5.0	0.0	0.0	5.5				2.8	5.0	11.1	北西									
2017/2/3	大田	6.9	12.5	1.9	0.0	0.0	7.2				1.7	3.7	7.9	北西									
2017/2/4	大田	7.5	15.5	1.2	0.0	0.0	9.3				1.7	3.7	6.9	南									
2017/2/5	大田	7.8	10.6	6.0	19.5	2.0	0.0				2.4	5.3	14.2	南南東									
2017/2/6	大田	6.4	8.9	3.6	3.5	1.0	1.0				4.2	9.0	17.7	西北西									
2017/2/7	大田	4.7	7.6	0.6	1.5	1.0	1.6				2.5	5.4	11.4	北北東									
2017/2/8	大田	4.6	10.2	-1.0	1.5	0.5	5.4				1.4	4.0	7.7	南南東									
2017/2/9	大田	3.2	5.5	0.6	42.0	2.0	0.1				3.6	9.7	21.0	西北西									
2017/2/10	大田	1.5	2.9	0.3	6.0	1.0	0.4				4.2	7.1	16.1	西北西									
2017/2/11	大田	2.3	4.7	0.2	2.5	1.0	1.7				3.8	6.1	13.5	西北西									
